index_ccl	ccl_name	snp_fp_status	culture_media	ccle_primary_site	ccle_primary_hist	ccle_hist_subtype_1	cell_line_cluster_id	master_ccl_id
15	HUCCT1	SNP-matched-reference	RPMI001	biliary_tract	carcinoma		371;515;632;641;654;659;660	455
16	HUH28	SNP-not-tested	RPMI001	biliary_tract	carcinoma		361;582;608;627;636;646;651;657;660	458
17	SNU1079	SNP-matched-reference	RPMI001	biliary_tract	carcinoma		518;603;627;636;646;651;657;660	1082
18	SNU1196	SNP-matched-reference	RPMI001	biliary_tract	carcinoma		123;313;381;465;520;586;605;611;629;643;645;654;659;660	1085
19	SNU308	SNP-matched-reference	RPMI001	biliary_tract	carcinoma		344;365;445;521;550;572;602;608;627;636;646;651;657;660	1097
20	SNU478	SNP-not-tested	RPMI001	biliary_tract	carcinoma		28;82;194;290;304;388;507;540;574;591;598;616;630;643;645;654;659;660	1109
21	SNU869	SNP-matched-reference	RPMI001	biliary_tract	carcinoma		316;433;478;536;566;589;607;628;638;647;651;657;660	1126
22	A673	SNP-matched-reference	DMEM001	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		8;66;202;239;350;383;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	37
23	CADOES1	SNP-matched-reference	RPMI001	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		641;654;659;660	108
24	CAL78	SNP-matched-reference	RPMI003	bone	chondrosarcoma	dedifferentiated	503;551;565;601;604;615;624;631;638;647;651;657;660	120
25	G292CLONEA141B1	SNP-matched-reference	MCCOYS5A002	bone	osteosarcoma		295;424;502;556;569;601;604;615;624;631;638;647;651;657;660	262
26	HOS	SNP-matched-reference	EMEM001	bone	osteosarcoma		26;65;104;268;402;450;506;570;599;634;646;651;657;660	383
27	SUIT2	SNP-matched-reference	DMEM001	pancreas	carcinoma	ductal_carcinoma	220;397;519;572;602;608;627;636;646;651;657;660	1145
28	HS822T	SNP-matched-reference	DMEM001	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		491;554;618;644;655;657;660	424
29	HS888T	SNP-not-tested	DMEM002	bone	osteosarcoma		525;554;618;644;655;657;660	432
30	MG63	SNP-matched-reference	MEM001	bone	osteosarcoma		255;410;471;578;610;628;638;647;651;657;660	673
31	MHHES1	SNP-matched-reference	RPMI001	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		80;186;260;374;484;520;586;605;611;629;643;645;654;659;660	677
32	SAOS2	SNP-unconfirmed	MCCOYS5A003	bone	osteosarcoma		68;75;267;349;411;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	1004
33	SJSA1	SNP-matched-reference	RPMI001	bone	osteosarcoma		54;236;266;439;499;567;600;609;624;631;638;647;651;657;660	1032
34	SKES1	SNP-matched-reference	MCCOYS5A003	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		68;75;267;349;411;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	1035
35	SKNMC	SNP-matched-reference	EMEM001	bone	Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor		8;66;202;239;350;383;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	1056
36	SNU182	SNP-matched-reference	RPMI001	liver	carcinoma	hepatocellular_carcinoma	105;261;318;443;500;537;550;572;602;608;627;636;646;651;657;660	1091
37	U2OS	SNP-matched-reference	DMEM001	bone	osteosarcoma		559;591;598;616;630;643;645;654;659;660	1226
38	AU565	SNP-not-tested	DMEM001	breast	carcinoma		164;493;568;588;623;631;638;647;651;657;660	53
39	BT20	SNP-matched-reference	EMEM001	breast	carcinoma	ductal_carcinoma	192;315;412;477;530;545;584;595;609;624;631;638;647;651;657;660	90
40	BT474	SNP-matched-reference	DMEM006	breast	carcinoma	ductal_carcinoma	535;568;588;623;631;638;647;651;657;660	97
41	BT549	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	398;449;486;558;595;609;624;631;638;647;651;657;660	99
42	CAL120	SNP-matched-reference	DMEM001	breast	carcinoma		463;543;597;619;629;643;645;654;659;660	111
43	CAL148	SNP-matched-reference	DMEM006	breast	carcinoma	ductal_carcinoma	283;351;505;541;592;632;641;654;659;660	113
44	CAL51	SNP-matched-reference	DMEM006	breast	carcinoma		15;180;308;374;484;520;586;605;611;629;643;645;654;659;660	117
45	CAL851	SNP-matched-reference	DMEM001	breast	carcinoma		41;69;197;208;219;369;444;514;539;569;601;604;615;624;631;638;647;651;657;660	121
46	CAMA1	SNP-matched-reference	EMEM001	breast	carcinoma		429;581;583;611;629;643;645;654;659;660	125
47	EFM192A	SNP-matched-reference	RPMI003	breast	carcinoma		493;568;588;623;631;638;647;651;657;660	236
48	HCC1143	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	155;321;382;442;504;511;600;609;624;631;638;647;651;657;660	295
49	HCC1395	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	238;426;523;574;591;598;616;630;643;645;654;659;660	300
50	HCC1419	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	456;535;568;588;623;631;638;647;651;657;660	301
51	NCIH1869	SNP-matched-reference	RPMI001	lung	carcinoma	squamous_cell_carcinoma	51;243;389;420;477;530;545;584;595;609;624;631;638;647;651;657;660	155456
52	HCC1500	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	479;553;573;607;628;638;647;651;657;660	305
53	HCC1569	SNP-not-tested	RPMI001	breast	carcinoma	metaplastic_carcinoma	642;649;652;655;657;660	306
54	HCC1806	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	32;148;271;384;432;484;520;586;605;611;629;643;645;654;659;660	309
55	HCC1937	SNP-unconfirmed	RPMI001	breast	carcinoma	ductal_carcinoma	417;521;550;572;602;608;627;636;646;651;657;660	313
56	HCC1954	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	132;405;434;476;528;560;586;605;611;629;643;645;654;659;660	314
57	HCC202	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	368;378;547;584;595;609;624;631;638;647;651;657;660	315
58	HCC38	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	398;449;486;558;595;609;624;631;638;647;651;657;660	330
59	HDQP1	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	400;454;538;559;591;598;616;630;643;645;654;659;660	349
60	HMC18	SNP-not-tested	RPMI001	breast	carcinoma		102;148;271;384;432;484;520;586;605;611;629;643;645;654;659;660	376
61	HS578T	SNP-matched-reference	DMEM001	breast	carcinoma	ductal_carcinoma	370;486;558;595;609;624;631;638;647;651;657;660	400
62	JIMT1	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	204;381;465;520;586;605;611;629;643;645;654;659;660	501
63	KPL1	SNP-matched-reference	DMEM001	breast	carcinoma	ductal_carcinoma	653;658;662	569
64	MCF7	SNP-matched-reference	DMEM001	breast	carcinoma		387;496;583;611;629;643;645;654;659;660	646
65	MDAMB157	SNP-unconfirmed	RPMI001	breast	carcinoma	ductal_carcinoma	573;607;628;638;647;651;657;660	648
66	LOXIMVI	SNP-matched-reference	RPMI001	skin	malignant_melanoma		74;215;285;395;464;514;539;569;601;604;615;624;631;638;647;651;657;660	623
67	MDAMB231	SNP-not-tested	RPMI001	breast	carcinoma		217;372;467;517;576;594;602;608;627;636;646;651;657;660	650
68	MDAMB361	SNP-matched-reference	RPMI003	breast	carcinoma		428;562;590;593;615;624;631;638;647;651;657;660	651
69	MDAMB415	SNP-not-tested	RPMI017	breast	carcinoma		633;647;651;657;660	652
70	MDAMB453	SNP-matched-reference	RPMI001	breast	carcinoma		428;562;590;593;615;624;631;638;647;651;657;660	657
71	MDAMB468	SNP-matched-reference	DMEM001	breast	carcinoma		66;202;239;350;383;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	658
72	SKBR3	SNP-matched-reference	MCCOYS5A001	breast	carcinoma		164;493;568;588;623;631;638;647;651;657;660	1033
73	T47D	SNP-matched-reference	RPMI018	breast	carcinoma	ductal_carcinoma	410;471;578;610;628;638;647;651;657;660	1175
74	ZR751	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	533;604;615;624;631;638;647;651;657;660	1285
75	ZR7530	SNP-matched-reference	RPMI001	breast	carcinoma	ductal_carcinoma	456;535;568;588;623;631;638;647;651;657;660	1286
76	42MGBA	SNP-matched-reference	RPMIMEM001	central_nervous_system	glioma	astrocytoma_Grade_IV	409;566;589;607;628;638;647;651;657;660	10
77	8MGBA	SNP-matched-reference	EMEM005	central_nervous_system	glioma	astrocytoma_Grade_IV	330;390;474;570;599;634;646;651;657;660	22
78	A172	SNP-matched-reference	DMEM001	central_nervous_system	glioma	astrocytoma_Grade_IV	175;207;294;383;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	25
79	SW1710	SNP-matched-reference	EMEM005	urinary_tract	carcinoma	transitional_cell_carcinoma	531;598;616;630;643;645;654;659;660	1158
80	BECKER	SNP-matched-reference	EMEM001	central_nervous_system	glioma	astrocytoma_Grade_IV	36;85;239;350;383;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	59
81	CAS1	SNP-matched-reference	DMEM001	central_nervous_system	glioma	astrocytoma_Grade_IV	431;534;564;603;627;636;646;651;657;660	130
82	CCFSTTG1	SNP-matched-reference	RPMI001	central_nervous_system	glioma	astrocytoma	20;482;633;647;651;657;660	131
83	D283MED	SNP-matched-reference	EMEM001	central_nervous_system	primitive_neuroectodermal_tumor_medulloblastoma		113;169;288;333;475;513;552;589;607;628;638;647;651;657;660	193
84	DAOY	SNP-matched-reference	EMEM001	central_nervous_system	primitive_neuroectodermal_tumor_medulloblastoma		2;97;177;359;546;587;599;634;646;651;657;660	202
85	DBTRG05MG	SNP-not-tested	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_IV	397;519;572;602;608;627;636;646;651;657;660	205
86	DKMG	SNP-matched-reference	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_IV	134;295;424;502;556;569;601;604;615;624;631;638;647;651;657;660	211
87	GAMG	SNP-not-tested	DMEM001	central_nervous_system	glioma		115;329;423;480;556;569;601;604;615;624;631;638;647;651;657;660	268
88	GB1	SNP-matched-reference	EMEM001	central_nervous_system	glioma	astrocytoma_Grade_IV	10;289;408;447;522;564;603;627;636;646;651;657;660	269
89	GI1	SNP-matched-reference	DMEM001	central_nervous_system	glioma	gliosarcoma	207;294;383;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	274
90	GMS10	SNP-matched-reference	MEM001	central_nervous_system	glioma	astrocytoma_Grade_IV	87;224;324;389;420;477;530;545;584;595;609;624;631;638;647;651;657;660	280
91	GOS3	SNP-matched-reference	DMEM001	central_nervous_system	glioma	astrocytoma	87;224;324;389;420;477;530;545;584;595;609;624;631;638;647;651;657;660	281
92	HS683	SNP-matched-reference	DMEM001	central_nervous_system	glioma		47;161;197;208;219;369;444;514;539;569;601;604;615;624;631;638;647;651;657;660	409
93	RH18	SNP-matched-reference	RPMI003	soft_tissue	rhabdomyosarcoma	alveolar	467;517;576;594;602;608;627;636;646;651;657;660	973
94	KG1C	SNP-matched-reference	DMEMF12003	central_nervous_system	glioma	astrocytoma_Grade_IV	544;576;594;602;608;627;636;646;651;657;660	530
95	KNS42	SNP-matched-reference	MEM001	central_nervous_system	glioma		450;506;570;599;634;646;651;657;660	556
96	KNS60	SNP-matched-reference	DMEM009	central_nervous_system	glioma	astrocytoma_Grade_IV	236;266;439;499;567;600;609;624;631;638;647;651;657;660	557
97	KNS81	SNP-matched-reference	DMEM009	central_nervous_system	glioma	astrocytoma_Grade_IV	317;436;613;626;644;655;657;660	559
98	LN18	SNP-matched-reference	DMEM009	central_nervous_system	glioma	astrocytoma_Grade_IV	114;322;426;523;574;591;598;616;630;643;645;654;659;660	604
99	LN229	SNP-matched-reference	DMEM009	central_nervous_system	glioma	astrocytoma_Grade_IV	43;158;234;313;381;465;520;586;605;611;629;643;645;654;659;660	606
100	M059K	SNP-matched-reference	DMEMF12003	central_nervous_system	glioma	astrocytoma_Grade_IV	24;134;295;424;502;556;569;601;604;615;624;631;638;647;651;657;660	638
101	NMCG1	SNP-matched-reference	DMEM001	central_nervous_system	glioma		515;632;641;654;659;660	855
102	ONS76	SNP-matched-reference	RPMI001	central_nervous_system	primitive_neuroectodermal_tumor_medulloblastoma		71;205;289;408;447;522;564;603;627;636;646;651;657;660	899
103	SF126	SNP-matched-reference	EMEM001	central_nervous_system	glioma	astrocytoma	10;289;408;447;522;564;603;627;636;646;651;657;660	1015
104	SF268	SNP-not-tested	RPMI001				12;55;135;233;281;331;395;464;514;539;569;601;604;615;624;631;638;647;651;657;660	1017
105	SF295	SNP-matched-reference	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_IV	488;522;564;603;627;636;646;651;657;660	1018
106	SF539	SNP-matched-reference	RPMI005				12;55;135;233;281;331;395;464;514;539;569;601;604;615;624;631;638;647;651;657;660	1019
107	SNB75	SNP-matched-reference	RPMI005				376;421;489;562;590;593;615;624;631;638;647;651;657;660	1073
108	SNU1105	SNP-matched-reference	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_IV	318;443;500;537;550;572;602;608;627;636;646;651;657;660	1083
109	SNU201	SNP-matched-reference	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_IV	518;603;627;636;646;651;657;660	1092
110	SNU466	SNP-matched-reference	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_IV	361;582;608;627;636;646;651;657;660	1107
111	SNU489	SNP-unconfirmed	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_IV	364;452;534;564;603;627;636;646;651;657;660	1110
112	SNU626	SNP-unconfirmed	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_IV	452;534;564;603;627;636;646;651;657;660	1117
113	SNU738	SNP-matched-reference	RPMI001	central_nervous_system	glioma	oligodendroglioma	364;452;534;564;603;627;636;646;651;657;660	1121
114	SW1088	SNP-not-tested	RPMI001	central_nervous_system	glioma		115;329;423;480;556;569;601;604;615;624;631;638;647;651;657;660	1151
115	SW1783	SNP-not-tested	RPMI001	central_nervous_system	glioma	astrocytoma_Grade_III	620;652;655;657;660	1159
116	T98G	SNP-not-tested	EMEM001	central_nervous_system	glioma	astrocytoma_Grade_IV	262;506;570;599;634;646;651;657;660	1177
117	TM31	SNP-matched-reference	MEM001	central_nervous_system	glioma	astrocytoma	65;104;268;402;450;506;570;599;634;646;651;657;660	1204
118	U118MG	SNP-matched-reference	DMEM001	central_nervous_system	glioma	astrocytoma	213;441;497;557;596;619;629;643;645;654;659;660	1218
119	U251MG	SNP-matched-reference	MEM001	central_nervous_system	glioma	astrocytoma	81;170;346;468;587;599;634;646;651;657;660	1223
120	U87MG	SNP-matched-reference	EMEM001	central_nervous_system	glioma	astrocytoma	416;429;581;583;611;629;643;645;654;659;660	1230
121	YH13	SNP-matched-reference	EMEM005	central_nervous_system	glioma	astrocytoma_Grade_IV	24;134;295;424;502;556;569;601;604;615;624;631;638;647;651;657;660	1282
122	YKG1	SNP-matched-reference	DMEM001	central_nervous_system	glioma	astrocytoma_Grade_IV	143;278;466;536;566;589;607;628;638;647;651;657;660	1283
123	HELA	SNP-unconfirmed	DMEM001				596;619;629;643;645;654;659;660	364
124	ACHN	SNP-matched-reference	EMEM001	kidney	carcinoma	renal_cell_carcinoma	157;211;307;390;474;570;599;634;646;651;657;660	43
125	EFE184	SNP-matched-reference	RPMI001	endometrium	carcinoma		448;499;567;600;609;624;631;638;647;651;657;660	234
126	EN	SNP-matched-reference	DMEM001	endometrium	carcinoma		327;441;497;557;596;619;629;643;645;654;659;660	243
127	ESS1	SNP-matched-reference	RPMI003	endometrium	carcinoma	carcinosarcoma; malignant_mesodermal_mixed_tumor	18;34;117;246;331;395;464;514;539;569;601;604;615;624;631;638;647;651;657;660	248
128	HEC108	SNP-not-tested	EMEM002	endometrium	carcinoma	adenocarcinoma	94;253;432;484;520;586;605;611;629;643;645;654;659;660	350
129	HEC151	SNP-not-tested	EMEM002	endometrium	carcinoma	adenocarcinoma	45;125;173;319;379;480;556;569;601;604;615;624;631;638;647;651;657;660	351
130	HEC1A	SNP-matched-reference	MCCOYS5A001	endometrium	carcinoma	adenocarcinoma	139;301;424;502;556;569;601;604;615;624;631;638;647;651;657;660	352
131	HEC1B	SNP-matched-reference	EMEM001	endometrium	carcinoma	adenocarcinoma	228;358;445;521;550;572;602;608;627;636;646;651;657;660	353
132	HEC251	SNP-matched-reference	EMEM002	endometrium	carcinoma	adenocarcinoma	109;269;405;434;476;528;560;586;605;611;629;643;645;654;659;660	354
133	HEC265	SNP-not-tested	EMEM002	endometrium	carcinoma	adenocarcinoma	546;587;599;634;646;651;657;660	355
134	HEC50B	SNP-matched-reference	EMEM002	endometrium	carcinoma	adenocarcinoma	402;450;506;570;599;634;646;651;657;660	356
135	HEC59	SNP-unconfirmed	EMEM002	endometrium	carcinoma	adenocarcinoma	103;205;289;408;447;522;564;603;627;636;646;651;657;660	357
136	HEC6	SNP-matched-reference	EMEM002	endometrium	carcinoma	adenocarcinoma	109;269;405;434;476;528;560;586;605;611;629;643;645;654;659;660	358
137	ISHIKAWAHERAKLIO02ER	SNP-not-tested	MEM002	endometrium	carcinoma	adenocarcinoma	94;253;432;484;520;586;605;611;629;643;645;654;659;660	479
138	JHUEM1	SNP-matched-reference	DMEMF12003	endometrium	carcinoma	adenocarcinoma	57;270;393;423;480;556;569;601;604;615;624;631;638;647;651;657;660	497
139	JHUEM2	SNP-matched-reference	DMEMF12004	endometrium	carcinoma	adenocarcinoma	283;351;505;541;592;632;641;654;659;660	498
140	JHUEM3	SNP-matched-reference	DMEMF12004	endometrium	carcinoma	adenocarcinoma	347;433;478;536;566;589;607;628;638;647;651;657;660	499
141	JHUEM7	SNP-matched-reference	DMEMF12004	endometrium	carcinoma	adenocarcinoma	60;96;187;267;349;411;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	500
142	KLE	SNP-not-tested	DMEMF12003	endometrium	carcinoma	adenocarcinoma	481;538;559;591;598;616;630;643;645;654;659;660	534
143	MFE296	SNP-matched-reference	RPMIMEM002	endometrium	carcinoma	adenocarcinoma	75;267;349;411;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	671
144	MFE319	SNP-matched-reference	RPMIMEM001	endometrium	carcinoma	adenocarcinoma	93;268;402;450;506;570;599;634;646;651;657;660	672
145	RL952	SNP-matched-reference	RPMI001	endometrium	carcinoma	mixed_adenosquamous_carcinoma	183;261;318;443;500;537;550;572;602;608;627;636;646;651;657;660	981
146	SNGM	SNP-matched-reference	HAMSF12002	endometrium	carcinoma	adenocarcinoma	84;235;319;379;480;556;569;601;604;615;624;631;638;647;651;657;660	1074
147	SNU1077	SNP-matched-reference	RPMI001	endometrium	carcinoma	carcinosarcoma; malignant_mesodermal_mixed_tumor	408;447;522;564;603;627;636;646;651;657;660	1081
148	SNU685	SNP-matched-reference	RPMI001	endometrium	carcinoma	carcinosarcoma; malignant_mesodermal_mixed_tumor	58;74;215;285;395;464;514;539;569;601;604;615;624;631;638;647;651;657;660	1119
149	ALLSIL	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	541;592;632;641;654;659;660	46
150	CMLT1	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	90;264;415;465;520;586;605;611;629;643;645;654;659;660	154
151	HDMYZ	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	7;19;64;107;281;331;395;464;514;539;569;601;604;615;624;631;638;647;651;657;660	348
152	HEL	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia	264;415;465;520;586;605;611;629;643;645;654;659;660	362
153	HS611T	SNP-not-tested	DMEM001	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	60;96;187;267;349;411;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	405
154	JURKAT	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	11;80;186;260;374;484;520;586;605;611;629;643;645;654;659;660	508
155	JVM2	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma	563;616;630;643;645;654;659;660	510
156	KASUMI2	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	169;288;333;475;513;552;589;607;628;638;647;651;657;660	519
157	KCL22	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	5;90;264;415;465;520;586;605;611;629;643;645;654;659;660	524
158	KMS11	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	259;393;423;480;556;569;601;604;615;624;631;638;647;651;657;660	545
159	KMH2	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma	11;80;186;260;374;484;520;586;605;611;629;643;645;654;659;660	538
160	LAMA84	SNP-matched-reference	RPMI001	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase; chronic_myeloid_leukaemia	5;90;264;415;465;520;586;605;611;629;643;645;654;659;660	595
161	MOLP8	SNP-matched-reference	RPMI003	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma	96;187;267;349;411;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	696
162	769P	SNP-matched-reference	RPMI001	kidney	carcinoma	clear_cell_renal_cell_carcinoma	181;234;313;381;465;520;586;605;611;629;643;645;654;659;660	16
163	786O	SNP-matched-reference	RPMI001	kidney	carcinoma	clear_cell_renal_cell_carcinoma	72;104;268;402;450;506;570;599;634;646;651;657;660	19
164	A498	SNP-matched-reference	EMEM001	kidney	carcinoma	renal_cell_carcinoma	610;628;638;647;651;657;660	33
165	AN3CA	SNP-matched-reference	EMEM001	endometrium	carcinoma	adenocarcinoma	85;239;350;383;459;464;514;539;569;601;604;615;624;631;638;647;651;657;660	50
166	BFTC905	SNP-matched-reference	DMEM001	urinary_tract	carcinoma	transitional_cell_carcinoma	120;325;472;507;540;574;591;598;616;630;643;645;654;659;660	61
167	CAKI1	SNP-matched-reference	MCCOYS5A001	kidney	carcinoma	clear_cell_renal_cell_carcinoma	471;578;610;628;638;647;651;657;660	109
168	CAKI2	SNP-matched-reference	MCCOYS5A001	kidney	carcinoma	clear_cell_renal_cell_carcinoma	495;532;547;584;595;609;624;631;638;647;651;657;660	110
169	CAL54	SNP-matched-reference	DMEM011	kidney	carcinoma	renal_cell_carcinoma	347;433;478;536;566;589;607;628;638;647;651;657;660	118
170	KMRC1	SNP-matched-reference	DMEM001	kidney	carcinoma	clear_cell_renal_cell_carcinoma	121;243;389;420;477;530;545;584;595;609;624;631;638;647;651;657;660	540
171	KMRC2	SNP-matched-reference	DMEM001	kidney	carcinoma	clear_cell_renal_cell_carcinoma	227;492;549;571;613;626;644;655;657;660	541
172	KMRC20	SNP-matched-reference	DMEM001	kidney	carcinoma	renal_cell_carcinoma	231;358;445;521;550;572;602;608;627;636;646;651;657;660	542
173	KMRC3	SNP-matched-reference	DMEM001	kidney	carcinoma	clear_cell_renal_cell_carcinoma	516;590;593;615;624;631;638;647;651;657;660	543
174	OSRC2	SNP-matched-reference	RPMI001	kidney	carcinoma	renal_cell_carcinoma	519;572;602;608;627;636;646;651;657;660	902
175	RCC10RGB	SNP-matched-reference	DMEM001	kidney	carcinoma	renal_cell_carcinoma	491;554;618;644;655;657;660	956
176	SNU1272	SNP-matched-reference	RPMI001	kidney	carcinoma	clear_cell_renal_cell_carcinoma	336;496;583;611;629;643;645;654;659;660	1088
177	TUHR10TKB	SNP-not-tested	RPMI001	kidney	carcinoma		621;649;652;655;657;660	1213
178	TUHR14TKB	SNP-matched-reference	RPMI001	kidney	carcinoma		642;649;652;655;657;660	1214
179	TUHR4TKB	SNP-matched-reference	RPMI001	kidney	carcinoma		322;426;523;574;591;598;616;630;643;645;654;659;660	1216
180	VMRCRCW	SNP-matched-reference	RPMI001	kidney	carcinoma		276;435;511;600;609;624;631;638;647;651;657;660	1253
181	JHH2	SNP-matched-reference	EMEM001	liver	carcinoma	hepatocellular_carcinoma	302;495;532;547;584;595;609;624;631;638;647;651;657;660	487
182	C2BBE1	SNP-matched-reference	DMEM003	large_intestine	carcinoma	adenocarcinoma	252;323;357;494;545;584;595;609;624;631;638;647;651;657;660	102
183	CCK81	SNP-not-tested	RPMI001	large_intestine	carcinoma	adenocarcinoma	282;560;586;605;611;629;643;645;654;659;660	132
184	CL11	SNP-matched-reference	DMEMF12006	large_intestine	carcinoma	adenocarcinoma	133;292;448;499;567;600;609;624;631;638;647;651;657;660	147
185	CL34	SNP-matched-reference	DMEM006	large_intestine	carcinoma	adenocarcinoma	656;661;662	149
186	COLO201	SNP-matched-reference	RPMI001	large_intestine	carcinoma	adenocarcinoma	310;345;498;555;575;605;611;629;643;645;654;659;660	155
187	COLO205	SNP-matched-reference	RPMI001	large_intestine	carcinoma	adenocarcinoma	334;446;528;560;586;605;611;629;643;645;654;659;660	156
188	COLO678	SNP-matched-reference	RPMI001	large_intestine	carcinoma	adenocarcinoma	257;396;510;527;588;623;631;638;647;651;657;660	160
