index_cpd	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	compound_cluster_id	cpd_smiles	master_cpd_id
49	NSC23766	BRD-A80213327	530	probe	RAC1;TIAM1;TRIO	inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1	164;310;371;430;457;461;467;475;479	CCN(CC)CCCC(C)Nc1nc(C)cc(Nc2ccc3nc(C)cc(N)c3c2)n1	44503
50	oligomycin A	BRD-A81541225	33	probe	ATP5L2	inhibitor of mitochondrial ATP synthase	32;64;139;298;424;442;456;466;469;472;476;478;479	CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C	411869
51	ML258	BRD-A82720512	66	probe	BCL2L10	inhibitor of BIM-BCL-B interaction	302;319;435;459;473;478;479	COc1ccc(CN2c3nnnn3C3C(C2=O)C2(CCCC2)Cc2ccccc32)cc1	660314
52	ML050	BRD-A83255679	66	probe	GPER1	antagonist of GPR30	149;346;398;440;458;465;474;475;479	Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12	153820
53	fulvestrant	BRD-A85667082	66	FDA	ESR1;GPER1	antagonist of the estrogen receptor	277;406;456;466;469;472;476;478;479	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)Cc1cc(O)ccc31	464880
54	BRD-A86708339	BRD-A86708339	66	probe		screening hit	160;325;396;439;457;461;467;475;479	Cc1ccc(cc1)C(NC(=O)c1ccccc1)c1ccc2cccnc2c1O	687769
55	CID-5951923	BRD-A86956638	66	probe	KLF5	modulator of KLF5 expression	225;262;338;363;462;471;477	CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)\C=C\c1cccc(c1)[N+]([O-])=O	267119
56	FQI-1	BRD-A91658086	33	probe		inhibitor of LSF1-mediated transcription	20;140;199;227;336;358;372;425;447;476;478;479	CCOc1ccccc1C1CC(=O)Nc2cc3OCOc3cc12	102193
57	thalidomide	BRD-A93255169	66	FDA	CRBN	immunomodulatory drug; binder of cereblon	226;340;398;440;458;465;474;475;479	O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12	24197
58	temozolomide	BRD-A94153989	66	FDA		DNA alkylator	390;415;448;468;477	CN1N=Nc2c(ncn2C1=O)C(=O)N	351043
59	BRD-A94377914	BRD-A94377914	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	192;282;356;432;451;454;470;474;475;479	CN1CCCCC1NC(=O)[C@H](CCCCCC(C)=O)C(=O)Nc1nc(cs1)-c1ccccc1	61724
60	cyanoquinoline 11	BRD-K00088062	130	clinical	MAP3K8	inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells	330;351;403;449;461;467;475;479	Fc1ccc(Nc2c(cnc3c(Cl)cc(NCc4cnc[nH]4)cc23)C#N)cc1Cl	417415
61	RITA	BRD-K00317371	33	probe	MDM2;TP53	inhibitor of p53-MDM2 interaction	369;417;437;449;461;467;475;479	OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1	375492
62	tubastatin A	BRD-K00627859	33	probe	HDAC6	inhibitor of tubulin deacetylase activity of HDAC6	142;205;354;435;459;473;478;479	CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO	411749
63	ML239	BRD-K01121114	66	probe		ML239; inhibitor of breast cancer stem cell proliferation	391;418;442;456;466;469;472;476;478;479	Clc1cc(Cl)c(OCC(=O)N\N=C\c2ccc[nH]2)c(Cl)c1	609781
64	LRRK2-IN-1	BRD-K01436366	66	probe	DCLK1;LRRK2	inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase	125;328;374;403;449;461;467;475;479	COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)C(=O)N1CCC(CC1)N1CCN(C)CC1	607696
65	pyrazolanthrone	BRD-K01567962	66	probe	MAPK10;MAPK8;MAPK9	inhibitor of Jun N-terminal kinase (JNK) 1/2/3	146;245;323;404;423;445;467;475;479	O=C1c2ccccc2-c2n[nH]c3cccc1c23	44511
66	BRD-K01737880	BRD-K01737880	66	probe		screening hit	352;416;455;464;469;472;476;478;479	COc1ccc(NC(=O)Nc2ccc3O[C@@H](CN(C)Cc4ccc5OCOc5c4)[C@@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1	438345
67	ML210	BRD-K01877528	33	probe		selectively kills engineered cells expressing mutant HRAS	6;117;207;333;426;443;464;469;472;476;478;479	Cc1onc(C(=O)N2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c1[N+]([O-])=O	609110
68	NVP-BSK805	BRD-K02017404	66	probe	JAK2	inhibitor of Janus kinase 2	56;137;198;293;370;380;421;438;445;467;475;479	Fc1cc(cc(F)c1CN1CCOCC1)-c1cccc2ncc(nc12)-c1cnn(c1)C1CCNCC1	660434
69	olaparib	BRD-K02113016	150	clinical	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 and 2	161;260;374;403;449;461;467;475;479	Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1	411867
70	LBH-589	BRD-K02130563	66	clinical	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	71;155;238;297;392;439;457;461;467;475;479	Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1	54210
71	BRD-K02251932	BRD-K02251932	66	GE-active		product of diversity oriented synthesis	88;231;375;428;458;465;474;475;479	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc2c(NS(=O)(=O)c3ccc(F)cc3)cccc2C1=O	442141
72	parbendazole	BRD-K02407574	66	probe		inhibitor of microtubule assembly	9;10;19;39;50;75;85;199;227;336;358;372;425;447;476;478;479	CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1	28172
73	BRD-K02492147	BRD-K02492147	66	GE-active		product of diversity oriented synthesis	151;195;271;308;382;434;454;470;474;475;479	CN1CCN(CC1)C(=O)C[C@@H]1O[C@H](CO)[C@@H](NS(=O)(=O)c2cccc(F)c2)C=C1	415688
74	QS-11	BRD-K02526760	33	probe	ARFGAP1	inhibitor of GTPase activating protein of ARF 1 (ARFGAP1)	361;384;429;468;477	OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3CCCc3c2)nc2n(Cc3ccc(cc3)-c3ccccc3)cnc12	609681
75	AT-406	BRD-K02834582	66	probe	XIAP	SMAC mimetic; inhibitor of inhibitor of apoptosis proteins (IAPs)	173;311;432;451;454;470;474;475;479	CNC(C)C(=O)NC1CN(CCC2CCC(N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)C(=O)CC(C)C	710154
76	SU11274	BRD-K02965346	66	probe	MET	inhibitor of MET	232;306;331;410;438;445;467;475;479	CN(c1cccc(Cl)c1)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c(C)c(C(=O)N4CCN(C)CC4)c3C)c2c1	606586
77	HC-067047	BRD-K03391209	66	probe	TRPV4	inhibitor of cation channel TRPV4	300;349;377;427;446;460;465;474;475;479	Cc1c(cc(-c2ccccc2)n1CCCN1CCOCC1)C(=O)Nc1cccc(c1)C(F)(F)F	660083
78	azacitidine	BRD-K03406345	66	FDA	DNMT1	inhibitor of DNA methyltransferase	316;368;429;468;477	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	26874
79	foretinib	BRD-K03449891	66	clinical	KDR;MET	inhibitor of MET and VEGFR2	40;126;292;301;347;421;438;445;467;475;479	COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1	628607
80	Merck60	BRD-K04466929	33	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	23;66;93;155;238;297;392;439;457;461;467;475;479	CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)-c1cccs1	61674
81	BIBR-1532	BRD-K04623885	270	probe	TERT	inhibitor of telomerase reverse transcriptase	236;350;386;409;450;471;477	C\C(=C/C(=O)Nc1ccccc1C(O)=O)c1ccc2ccccc2c1	417982
82	BRD-K04800985	BRD-K04800985	67	GE-active		product of diversity oriented synthesis	231;375;428;458;465;474;475;479	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCCCC2)Oc2ccc(NC(=O)Nc3c(C)noc3C)cc2C1=O	435086
83	BMS-270394	BRD-K04905989	66	probe	RARG	antagonist of retinoic acid receptor gamma	149;346;398;440;458;465;474;475;479	CC1(C)CCC(C)(C)c2cc(ccc12)[C@@H](O)C(=O)Nc1ccc(cc1F)C(O)=O	660321
84	GSK-3 inhibitor IX	BRD-K04923131	66	probe		inhibitor of JAK/STAT signaling	150;365;397;443;464;469;472;476;478;479	O\N=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12	52582
85	CIL41	BRD-K05392795	160	probe		screening hit	279;333;426;443;464;469;472;476;478;479	N=C(NOC(=O)C12CC3CC(CC(C3)C1)C2)c1ccccc1	176181
86	triazolothiadiazine	BRD-K05402890	66	probe	PDE4A;PDE4B;PDE4D	inhibitor of phosphdiesterase 4A/B/D	19;39;50;75;85;199;227;336;358;372;425;447;476;478;479	COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1	385240
87	BRD9647	BRD-K05649647	33	probe		screening hit	92;143;288;395;411;446;460;465;474;475;479	COc1ccc(cc1)N(C(=O)c1ccccc1)S(=O)(=O)c1cc(OC)ccc1OC	37479
88	PDMP	BRD-K05653692	210	probe	UGCG	inhibitor of ceramide glucosyltransferase	303;362;396;439;457;461;467;475;479	CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1	58472
89	LE-135	BRD-K06593056	66	probe	RARB	antagonist of retinoic acid receptor beta	250;359;452;462;471;477	CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C	375354
90	GSK1059615	BRD-K06750613	33	clinical	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	inhibitor of PI3K and mTOR kinase activity	200;284;380;421;438;445;467;475;479	O=C1NC(=O)\C(S1)=C\c1ccc2nccc(-c3ccncc3)c2c1	606471
91	narciclasine	BRD-K06792661	33	probe	RHOA	activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling	41;61;105;166;257;315;372;425;447;476;478;479	O[C@H]1C=C2[C@@H](NC(=O)c3c(O)c4OCOc4cc23)[C@H](O)[C@@H]1O	632243
92	AM-580	BRD-K06854232	530	probe	RARA	agonist of retinoic acid receptor alpha	190;228;345;383;450;471;477	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O	58455
93	AA-COCF3	BRD-K07303502	270	probe	FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D	inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase	317;337;409;450;471;477	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F	411724
94	GSK525762A	BRD-K08109215	66	probe	BRD2;BRD3;BRD4	inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins	14;22;125;328;374;403;449;461;467;475;479	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12	660245
95	temsirolimus	BRD-K08177763	66	FDA	MTOR	inhibitor of mTOR	51;153;370;380;421;438;445;467;475;479	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO	660358
96	SID 26681509	BRD-K08417745	300	probe	CTSL1	inhibitor of cathepsin L	243;344;410;438;445;467;475;479	CCc1ccccc1NC(=O)CSC(=O)NNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C	411731
97	linsitinib	BRD-K08589866	33	clinical	IGF1R;INSR	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	98;175;351;403;449;461;467;475;479	CC1(O)CC(C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26	705300
98	C6-ceramide	BRD-K08608874	66	probe	MAPK1;PPP2CA;UGCG	inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A	186;288;395;411;446;460;465;474;475;479	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCC	44554
99	BRD-K09344309	BRD-K09344309	33	probe		screening hit	208;305;384;429;468;477	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc2c(NC(=O)c3ccncc3)cccc2C1=O	439882
100	GANT-61	BRD-K09485525	66	probe		inhibitor of hedgehog signaling pathway	263;407;430;457;461;467;475;479	CN(C)c1ccccc1CN1CCCN(Cc2ccccc2N(C)C)C1c1ccncc1	609332
