Gene	Score	0.95 MoE	p-value	FDR
DVL1	0.8240778769193774		0.0006125268153156082	0.08341201716738197
KCTD17	0.8240434711057122		0.0006128518494441916	0.08341201716738197
PDLIM4	0.8239785228149514		0.0006133394006370669	0.08341201716738197
SPRY2	0.8236365016874667		0.0006191900149515699	0.08341201716738197
STEAP1	0.8234574201438871		0.0006222778391731131	0.08341201716738197
LINC00094	0.823269685675581		0.0006240655268803224	0.08341201716738197
EEF1A1	0.823127947991545		0.0006271533511018657	0.08341201716738197
FERMT3	0.8228761126376891		0.0006302411753234089	0.08341201716738197
LIPT2	0.8228760219574549		0.0006302411753234089	0.08341201716738197
GLT8D1	0.8228185702131919		0.0006307287265162842	0.08341201716738197
VGF	0.8227428047963524		0.0006317038289020347	0.08341201716738197
GALNT1	0.8227192720621487		0.0006317038289020347	0.08341201716738197
CCDC74A	0.822301691833228		0.000638041994409413	0.08388888888888889
RP4-765A10.1	0.8220318828371812		0.0006411298186309563	0.08389830508474577
PPAT	0.8218749078889255		0.0006435675745953325	0.08389830508474577
HAS2	0.8215206194914365		0.0006515309107456283	0.08432926829268295
AC112721.2	0.821263723021206		0.0006544562179028798	0.08432926829268295
MAP4K4	0.8209308767599397		0.0006593317298316323	0.08432926829268295
AGPAT9	0.8207114541458589		0.0006632321393746344	0.08432926829268295
TSPYL2	0.8205541324942331		0.0006655073782747188	0.08432926829268295
NRP1	0.8204760531860144		0.0006676201001105116	0.08432926829268295
ACN9	0.8203706303340735		0.0006697328219463043	0.08432926829268295
DNAJB5	0.8202004914318799		0.0006721705779106806	0.08432926829268295
ACSS3	0.8201297717253012		0.0006733081973607229	0.08432926829268295
CTD-3199J23.2	0.8199902144277663		0.0006742832997464734	0.08432926829268295
FXC1	0.8197429567792904		0.0006778586751608919	0.08443319838056679
IRF4	0.819437003664569		0.000681109016446727	0.08449596774193549
RP11-40H20.2	0.8188007675002752		0.0006919976597542742	0.085398406374502
CPSF3L	0.8184720951685748		0.000696710654618735	0.085398406374502
RP11-210M15.1	0.8184666739843147		0.000696710654618735	0.085398406374502
CAPRIN2	0.8180599237498891		0.000703861405447572	0.08560546875000001
PDE2A	0.8176135098585545		0.0007072742637976988	0.08560546875000001
E2F4	0.8175544511512268		0.0007082493661834492	0.08560546875000001
CDH11	0.8174932116821275		0.0007100370538906585	0.08560546875000001
RP11-291L15.2	0.817367263050795		0.000712312292790743	0.08560546875000001
RP11-77K12.4	0.8167108863797713		0.0007184879412338296	0.08565637065637066
ITGAX	0.8164532111691197		0.0007207631801339141	0.08565637065637066
CCDC147	0.8164479109942386		0.0007210882142624975	0.08565637065637066
STK10	0.8160936577326544		0.0007274263797698758	0.08603448275862068
C17orf79	0.8159539239963968		0.0007298641357342521	0.08603448275862068
CDCA5	0.8157830571413685		0.0007340895794058376	0.08620229007633588
RARA	0.8146570797521517		0.0007522914906065137	0.08718283582089552
HAS2-AS1	0.8145222585321735		0.0007534291100565559	0.08718283582089552
TLE3	0.8143071674414291		0.000756029383085224	0.08718283582089552
FKBP7	0.8142421306267936		0.0007561919001495157	0.08718283582089552
PDLIM3	0.8141016113188582		0.0007587921731781837	0.08718283582089552
PAX8	0.8140263413058296		0.0007594422414353507	0.08718283582089552
GTF2H2C	0.813788070996163		0.0007674055775856465	0.08776951672862454
NLK	0.8132967048218359		0.0007760189819931093	0.08825367647058824
RP11-122A3.2	0.8131361744766573		0.0007784567379574856	0.08825367647058824
FMNL1	0.8128502723626954		0.0007802444256646948	0.08825367647058824
TTL	0.8123356762865976		0.0007882077618149906	0.08826714801444044
ZNF736P9Y	0.8122578588864225		0.0007893453812650328	0.08826714801444044
MMP1	0.8122518535992629		0.0007893453812650328	0.08826714801444044
EIF3H	0.8118541279527204		0.0007942208931937853	0.08826714801444044
RP1-224A6.3	0.811838188297213		0.0007947084443866606	0.08826714801444044
RP11-1136L8.1	0.8112967723058591		0.0008055970876942079	0.08894642857142858
CCDC74B	0.8111776130874729		0.0008068972242085419	0.08894642857142858
SLC25A6	0.8111123860906015		0.0008094974972372099	0.08894642857142858
SNHG10	0.810273044162528		0.0008194110381590067	0.08971530249110321
METTL9	0.8098368761386874		0.0008270493401807189	0.08982394366197184
TIMP1	0.8097638504671552		0.0008280244425664695	0.08982394366197184
SYT1	0.809688545452391		0.0008291620620165118	0.08982394366197184
CYP2C9	0.8089103161028424		0.0008437885978027692	0.09036458333333335
STAMBPL1	0.8087430035073176		0.0008450887343171033	0.09036458333333335
RTN2	0.80870161272041		0.0008457388025742703	0.09036458333333335
RPL6	0.8086511672992196		0.0008459013196385621	0.09036458333333335
PNPLA3	0.8081575009707225		0.0008551647923031919	0.09097269624573379
STMN3	0.8078412869914002		0.0008616654748748618	0.09097269624573379
SFR1	0.8078362151909144		0.0008616654748748618	0.09097269624573379
CBLN1	0.8076585077429373		0.0008650783332249886	0.09097269624573379
NT5E	0.8076369981882148		0.0008663784697393226	0.09097269624573379
CALB2	0.8071412462272142		0.0008740167717610349	0.09120338983050848
CDYL2	0.8071143960226055		0.0008745043229539102	0.09120338983050848
PITPNC1	0.8068183141977294		0.0008816550737827472	0.09163851351351351
CTD-2165H16.1	0.8062534912124198		0.000890918546447377	0.0922895622895623
NUDT6	0.806016256484889		0.0008940063706689203	0.09229865771812082
TRAC	0.805571723145817		0.0009016446726906325	0.09277591973244148
HS3ST3B1	0.8049219032624642		0.0009096080088409283	0.09298679867986798
ZG16B	0.8048290387786303		0.0009128583501267633	0.09298679867986798
RP11-394J1.2	0.8047483927011141		0.0009135084183839303	0.09298679867986798
RP11-124N14.4	0.8045301354295229		0.0009157836572840149	0.09298679867986798
STXBP1	0.8031066761022314		0.0009352857049990249	0.09416666666666668
STRADB	0.8030157890915484		0.0009362608073847754	0.09416666666666668
MCL1	0.8030062593906953		0.0009365858415133589	0.09416666666666668
RENBP	0.8028036465610472		0.0009412988363778197	0.09430194805194805
ACO1	0.8025512007486645		0.0009440616264707794	0.09430194805194805
IFNGR2	0.802177632638566		0.0009515374114282	0.09443548387096774
CHRNA9	0.8021758130442362		0.0009515374114282	0.09443548387096774
ITPRIP	0.8016156621451783		0.0009609634011571215	0.09488782051282052
NOVA2	0.801564039773443		0.0009622635376714555	0.09488782051282052
MTHFD2L	0.8012029765666291		0.0009702268738217513	0.09488924050632912
CHPT1	0.8011750221719087		0.0009707144250146265	0.09488924050632912
SH2D2A	0.8009378829617083		0.000974289800429045	0.09488924050632912
FAR2	0.8009193052342398		0.0009746148345576286	0.09488924050632912
SHC3	0.8004857025368636		0.0009829032048365078	0.0953943217665615
HMGA2	0.8000062426240128		0.0009928167457583046	0.09605345911949685
TEAD2	0.7997396234137397		0.0009967171553013066	0.09612852664576803
PPP1R14A	0.7990459128263551		0.0010098810375089385	0.09709375
CD99	0.7987965191273324		0.0010142689982448156	0.09721183800623051
RGL2	0.7985353874915203		0.0010183319248521095	0.09729813664596274
RNF175	0.7979284567357116		0.0010311707729311578	0.09820241691842901
RP11-629O1.2	0.79762180863044		0.0010379964896314114	0.09820241691842901
KCTD14	0.797542678810782		0.0010397841773386205	0.09820241691842901
TRMT5	0.7969752434770789		0.001045472274588832	0.09820241691842901
AC010091.1	0.796643780467107		0.0010521354742247936	0.09820241691842901
RP11-46H11.12	0.7966081252280737		0.001052460508353377	0.09820241691842901
RP11-18F14.2	0.7965550397674414		0.0010534356107391276	0.09820241691842901
AP000783.1	0.7965468592377557		0.0010535981278034193	0.09820241691842901
FOXL1	0.7963740677180289		0.001056523434960671	0.09820241691842901
FAM131C	0.7959912051389132		0.0010623740492751738	0.09844879518072289
TBX3	0.795105682998174		0.0010809009946044334	0.09954545454545455
VIM	0.7948356070400788		0.0010856139894688942	0.09954545454545455
SKA3	0.7948112877951753		0.0010862640577260613	0.09954545454545455
AC012379.1	0.794584494789847		0.0010900019502047716	0.09954545454545455
FLI1	0.7944463884703972		0.001092927257362023	0.09954545454545455
CXXC1	0.7942899514419669		0.0010973152180979004	0.09954545454545455
RP11-169D4.2	0.7939746430587048		0.0011018656958980693	0.09954545454545455
BCL6B	0.7939068989285093		0.0011030033153481115	0.09954545454545455
VAT1	0.7938900436755661		0.001103328349476695	0.09954545454545455
CUBN	0.7934947062542139		0.0011103165832412403	0.09971751412429379
GLT25D1	0.7929287585283202		0.001121042709484496	0.09971751412429379
CTD-2323K18.1	0.7929058804115581		0.0011220178118702463	0.09971751412429379
IRAK2	0.792759301014353		0.0011247806019632062	0.09971751412429379
GDF11	0.7926916982028104		0.0011257557043489567	0.09971751412429379
IPO5	0.792559541230988		0.001130631216277709	0.09971751412429379
AC003092.1	0.7924570628744193		0.0011317688357277513	0.09971751412429379
ARL2	0.7924480247655388		0.0011324189039849184	0.09971751412429379
PSD	0.7922439437737243		0.001135994279399337	0.09971751412429379
TSPAN18	0.7919664138721377		0.0011416823766495481	0.09971751412429379
FMNL3	0.7918659465232589		0.0011446076838067998	0.09971751412429379
GLCE	0.7916409452150307		0.0011473704738997595	0.09971751412429379
FXYD2	0.7916380125013543		0.0011473704738997595	0.09971751412429379
LTBP1	0.7912893266264064		0.0011537086394071377	0.09976123595505618
HJURP	0.7912342078036018		0.0011543587076643048	0.09976123595505618
PCDH12	0.7899124609966381		0.0011798738867581096	0.10166201117318437
ARMC9	0.7897597754975352		0.001182961710979653	0.10166201117318437
DLX1	0.7889909077157188		0.0011954755249301177	0.10245125348189416
RP11-158I13.2	0.7887440310229163		0.0011988883832802445	0.10245833333333333
IGFBP4	0.7886078343987701		0.00120311382695183	0.10253462603878116
RP11-124N14.3	0.7882238213993356		0.0012127023337450433	0.10306629834254144
PHLDA1	0.7876845031172508		0.001221315738152506	0.1034065934065934
RP11-101E7.2	0.7875493236394812		0.0012234284599882987	0.1034065934065934
AFAP1L1	0.7866369920898547		0.0012390300981603068	0.1035483870967742
RPSAP52	0.7866029160225423		0.001239680166417474	0.1035483870967742
U2AF2	0.7863884551757259		0.001242767990639017	0.1035483870967742
ARAP3	0.7863416920478289		0.0012434180588961842	0.1035483870967742
AMPD2	0.7862325245266154		0.0012447181954105182	0.1035483870967742
RBM19	0.7859433995764483		0.0012489436390821036	0.1035483870967742
ANO7	0.7857348038981598		0.0012515439121107716	0.1035483870967742
TRPV3	0.7857064481453829		0.001252031463303647	0.1035483870967742
CAPN5	0.7853519797167502		0.0012570694922966912	0.103686327077748
CCDC110	0.7851931008857833		0.0012608073847754015	0.10371657754010695
PRSS3	0.7850644896631143		0.0012653578625755704	0.10381333333333333
RP11-87M1.1	0.7845937286063003		0.0012762465058831177	0.10442819148936171
PAQR3	0.7838946415589453		0.0012898979392836248	0.10509259259259258
CDKN2AIPNL	0.7838644705654909		0.0012911980757979588	0.10509259259259258
RP5-1142A6.3	0.7835331483737584		0.0012955860365338361	0.10510526315789474
CCDC85B	0.7834073305525082		0.001298186309562504	0.10510526315789474
MT1E	0.7828852254123628		0.0013126503282844698	0.10599737532808398
KCNIP4	0.7819102891562054		0.0013350776831567315	0.10675324675324674
NTRK1	0.7819000365550672		0.0013350776831567315	0.10675324675324674
PRMT3	0.7818897792890063		0.0013350776831567315	0.10675324675324674
PTPN22	0.7818194883634101		0.0013358902684781902	0.10675324675324674
RP11-72M17.1	0.7813847774877798		0.0013453162582071118	0.10695090439276486
RP11-544I20.2	0.7813843037518218		0.0013453162582071118	0.10695090439276486
RNMTL1	0.7812608832387146		0.0013495417018786972	0.10701030927835051
RP11-867G2.8	0.7808589376324783		0.001356204901514659	0.10726221079691517
STK16	0.7805089073180589		0.0013643307547292465	0.10760204081632653
PIH1D1	0.7803370947728289		0.0013680686472079568	0.10760204081632653
IL31RA	0.7802799657989011		0.0013709939543652084	0.10760204081632653
EFCAB4B	0.7800748020360698		0.0013768445686797113	0.10768939393939395
JARID2	0.7799094730934386		0.0013800949099655464	0.10768939393939395
SULT1B1	0.779681455469021		0.0013861080413443412	0.10768939393939395
GCK	0.7796786371047165		0.0013861080413443412	0.10768939393939395
TSHZ1	0.779259981054858		0.0013945589286875123	0.10807304785894208
FAM65A	0.7785306386107689		0.0014114607033738542	0.1089650872817955
TFB1M	0.7784265044718629		0.0014140609764025222	0.1089650872817955
KRT79	0.7781571281401061		0.0014202366248456087	0.1089650872817955
ANKRD20A1	0.7781403538851712		0.0014202366248456087	0.1089650872817955
